OBJECTID,contract_number,contract_description,contract_status,contract_type,contract_subtype,last_modified,original_amount,revised_amount,vendor_id,vendor_name,objectid_1
1,91800268,CJIS/CDE - CONTINUATION OF SERVICES FOR FY 19     ,CLOSED,GS   (GEN SERV),,2019/04/02 00:00:00+00,1037830,877933.38,416,BUNCOMBE COUNTY FINANCE DEPT,0
2,91500051,DISASTER AND ENS REGISTRATION SERVICES            ,CLOSED,GS   (GEN SERV),,2015/05/18 00:00:00+00,6000,6000,2706,UNITED WAY OF ASHEVILLE & BUNC,1
3,91000424,WEED & SEED CONTRACTOR                            ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,4000,4000,9010,PISGAH VIEW COMMUNITY PEACE GARDEN,2
4,91000588,WEED & SEED RESOURCE PROVIDER                     ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,3500,3500,9012,GREEN OPPORTUNITIES INC,3
5,91100175,CARWASH FOR POLICE VEHICLE FY 2010-2011           ,CLOSED,GENERAL,,2013/06/10 00:00:00+00,32000,91344,20456,"ZIPS CAR WASH, LLC",4
6,91000322,PSYCHOLOGICAL TESTING FOR APD EMPLOYEES           ,CLOSED,GENERAL,,2010/09/28 00:00:00+00,3500,18500,8100,"LAW ENFORCEMENT SERVICES GROUP, PLLC",5
7,91100099,SIGN FOR STATION 12                               ,CLOSED,GENERAL,,2010/07/07 00:00:00+00,1200,1200,8471,CHEADLE'S AUTO ART,6
8,91900109,SWANNANOA 1: PRELIM CORRIDOR DESIGN .             ,POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,162401.91,657930.42,14246,"EQUINOX ENVIRON. CONSULT. & DESIGN, INC",7
9,92100429,HVAC DUCT CLEANING IN ARENA                       ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,16789.38,16789.38,28417,GENTRY HEATING LLC,8
10,91600212,PAVE SLUICEWAY & ASSOCIATED PROJECTS              ,CLOSED,CON  (CONSTUCT/R),,2016/03/18 00:00:00+00,16000,16000,5260,"B ALLEN CONSTRUCTION, INC.",9
11,91900098,LABS ANALYSIS FOR WATER PRODUCTION 2019           ,CLOSED,GS   (GEN SERV),,2020/06/12 00:00:00+00,15146,17313,4983,ENVIRONMENTAL TESTING SOLUTION,10
12,92000088,FLEET ASSET MANAGEMENT IMPLEMENTATION             ,POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,89999,89999,22777,TIMMONS GROUP INC.,11
13,91900230,LEGAL SERVICES FOR CDBG PROGRAM                   ,CLOSED,GS   (GEN SERV),,2020/06/12 00:00:00+00,3000,3000,2037,PISGAH LEGAL SERVICES,12
14,91100070,BC HEADLINER - CARAVAN OF THIEVES                 ,CLOSED,ENT  (ENTERTAIN),,2010/07/01 00:00:00+00,1500,1500,10651,"SANGIOVANNI, JAMES",13
15,91400077,CHANGING TOGETHER - RESOURCE COUNSELOR            ,CLOSED,GS   (GEN SERV),,2013/07/24 00:00:00+00,10000,10000,14922,ROBERT L. SIMMONS,14
16,91300242,IPCC CISCO PHONE SYSTEM UPGRADE                   ,CLOSED,GS   (GEN SERV),,2013/03/22 00:00:00+00,17252,17252,13965,"CONTINUANT, INC.",15
17,91600125,PROJECT LIGHTEN UP - SPF GRANT FY 15-16           ,CLOSED,GS   (GEN SERV),,2017/06/23 00:00:00+00,3500,3317,19132,PROJECT LIGHTEN UP,16
18,92100157,COVID 19 PUBLIC SPACE MANAGEMENT                  ,CLOSED,GS   (GEN SERV),,2021/06/07 00:00:00+00,9000,8962.5,31405,"TRAFFIC PLANNING AND DESIGN, INC.",17
19,91100286,BC 10 STAGE CREW                                  ,CLOSED,GS   (GEN SERV),,2010/08/03 00:00:00+00,630,630,7136,MICHAEL A TAYLOR,18
20,91200270,"CONTRACT FOR KATHY MARTH, M.A.                    ",CLOSED,GENERAL,,2012/03/15 00:00:00+00,500,500,7233,"KATHY MARTH, M. A.",19
21,91000600,WEED & SEED RESOURCE PROVIDER                     ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,5000,5000,10516,I HAVE A DREAM FOUNDATION,20
